origin,job_original,populations_original,origin_DA_id,original_acc,job_increase_40,populations_increase_40,job_increase_240,populations_increase_240,job_increase_80,populations_increase_80,job_increase_120,populations_increase_120,job_increase_160,populations_increase_160,job_increase_200,populations_increase_200,job_increase_280,populations_increase_280,job_increase_320,populations_increase_320,job_increase_360,populations_increase_360,job_increase_400,populations_increase_400,job_increase_440,populations_increase_440,job_increase_480,populations_increase_480
14039290,442580.0,373154.0,35203833,442580.0,97330.0,74542.0,147990.0,166492.0,116075.0,125393.0,124750.0,135771.0,140765.0,143845.0,135135.0,154986.0,146100.0,166100.0,149755.0,173534.0,154545.0,181922.0,155420.0,185279.0,154570.0,191398.0,159905.0,198269.0
13457660,73590.0,152961.0,35204796,73590.0,0.0,0.0,645.0,2110.0,0.0,0.0,645.0,2110.0,0.0,1134.0,21465.0,94086.0,645.0,2110.0,645.0,2110.0,645.0,2110.0,645.0,2110.0,20385.0,93953.0,645.0,2110.0
13465867,2335.0,15455.0,35203108,2335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30103825,390415.0,342528.0,35201004,390415.0,92425.0,56765.0,145540.0,149981.0,80790.0,104918.0,89465.0,115296.0,139720.0,132358.0,136135.0,143819.0,152710.0,148770.0,155990.0,155076.0,158370.0,171949.0,168550.0,180914.0,152580.0,178901.0,172630.0,192215.0
13449493,2250.0,12566.0,35202568,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13465879,103025.0,219717.0,35201297,103025.0,400.0,835.0,10650.0,32352.0,4190.0,13590.0,4880.0,15756.0,8345.0,30735.0,8590.0,28948.0,19045.0,46644.0,20575.0,58005.0,20465.0,77373.0,21155.0,85387.0,21785.0,73085.0,27620.0,93986.0
30071064,17540.0,71481.0,35204453,17540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4940.0,39224.0,0.0,0.0,4940.0,39224.0,5730.0,43896.0,7440.0,55735.0,7255.0,52609.0,8925.0,61466.0
13449497,165.0,3460.0,35200426,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30103834,390215.0,341126.0,35203842,390215.0,80085.0,50909.0,135520.0,148361.0,81330.0,105484.0,90005.0,115862.0,115735.0,126155.0,135860.0,142189.0,152840.0,149376.0,156120.0,155682.0,158320.0,170740.0,158890.0,173677.0,152350.0,176104.0,162670.0,183825.0
13457691,266730.0,324275.0,35202912,266730.0,3705.0,9213.0,26780.0,62276.0,15990.0,32889.0,21885.0,56755.0,19980.0,34254.0,26160.0,57417.0,24935.0,58213.0,27185.0,60441.0,37375.0,65250.0,37465.0,65894.0,28980.0,71451.0,46710.0,92837.0
13457693,6070.0,16199.0,35204403,6070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13449502,255.0,1824.0,35200384,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13449512,365.0,3554.0,35203571,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13449516,1640.0,12904.0,35202408,1640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14022962,116465.0,247494.0,35200693,116465.0,0.0,0.0,20620.0,37547.0,60.0,2267.0,1950.0,10035.0,4815.0,16220.0,7535.0,22340.0,14605.0,28850.0,16135.0,32958.0,23360.0,44785.0,20925.0,46471.0,18940.0,36348.0,22920.0,49253.0
13457715,204125.0,255158.0,35202683,204125.0,360.0,1009.0,35560.0,96356.0,8905.0,13360.0,47460.0,87844.0,12235.0,15292.0,35350.0,94003.0,33960.0,93182.0,37085.0,100695.0,37935.0,102126.0,38310.0,101654.0,33890.0,90005.0,42105.0,110905.0
13457717,73365.0,170306.0,35204492,73365.0,1505.0,4369.0,25310.0,98304.0,22175.0,90496.0,26500.0,99807.0,6025.0,11574.0,33585.0,111044.0,25310.0,98304.0,26855.0,101810.0,26855.0,101810.0,27185.0,104124.0,56415.0,172496.0,51110.0,169685.0
13465910,103670.0,222999.0,35201298,103670.0,400.0,835.0,10705.0,30519.0,4265.0,15096.0,4955.0,17262.0,8590.0,30024.0,8460.0,26336.0,20605.0,45963.0,22135.0,57324.0,20950.0,73361.0,22010.0,82528.0,21845.0,72177.0,27765.0,91282.0
13457722,112495.0,205808.0,35204170,112495.0,4785.0,12470.0,29930.0,90976.0,23365.0,77799.0,25585.0,85052.0,16550.0,28670.0,33185.0,97124.0,29930.0,90976.0,32890.0,95498.0,31475.0,94482.0,31440.0,95221.0,62860.0,162194.0,53290.0,155119.0
13465915,10650.0,29554.0,35201501,10650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17205.0,67372.0,17205.0,67372.0,0.0,0.0,17205.0,67372.0
13449544,1755.0,19754.0,35201881,1755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30062933,660.0,9822.0,35200244,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2575.0,33245.0
14014805,85765.0,206177.0,35201377,85765.0,0.0,0.0,7060.0,17800.0,3765.0,9317.0,4055.0,10648.0,4785.0,15531.0,5125.0,16989.0,18375.0,43536.0,20175.0,57008.0,14400.0,61455.0,14990.0,68286.0,20555.0,64907.0,23665.0,82358.0
13457751,188030.0,245599.0,35202687,188030.0,360.0,1009.0,34625.0,96913.0,7390.0,11221.0,28970.0,90808.0,11445.0,13665.0,34635.0,95651.0,33310.0,94148.0,36075.0,100713.0,36355.0,100553.0,35945.0,101971.0,30175.0,79407.0,39625.0,111025.0
13457752,78330.0,179728.0,35204491,78330.0,2230.0,6293.0,27430.0,104715.0,24335.0,95202.0,30355.0,103983.0,7990.0,16276.0,39290.0,117960.0,27820.0,105870.0,29725.0,112388.0,29725.0,112388.0,31075.0,115001.0,64300.0,180931.0,53340.0,173694.0
30103899,1915.0,3158.0,35201760,1915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13457758,129325.0,252562.0,35202261,129325.0,14305.0,25687.0,56450.0,62839.0,17385.0,42707.0,26635.0,57355.0,28015.0,48369.0,33085.0,66062.0,55560.0,61721.0,58660.0,66038.0,58620.0,67477.0,59805.0,72429.0,78640.0,115669.0,79745.0,131244.0
14063969,135590.0,263867.0,35203876,135590.0,0.0,0.0,12680.0,32831.0,4390.0,7695.0,6365.0,18207.0,8790.0,21640.0,11950.0,30512.0,6665.0,24134.0,8195.0,28242.0,15420.0,40069.0,16015.0,45432.0,11950.0,30110.0,17960.0,47746.0
14039394,425560.0,355213.0,35203834,425560.0,88035.0,66366.0,146125.0,162330.0,76990.0,113129.0,85665.0,123507.0,137165.0,138992.0,131270.0,152591.0,153525.0,162680.0,158045.0,172747.0,158620.0,177805.0,159935.0,182190.0,152340.0,186689.0,164705.0,197061.0
